,0,1
1689240964742,"{'rnti': '006e', 'dlBytes': 94772583, 'dlMcs': 7, 'dlBler': 0.0, 'ulBytes': 28107259, 'ulMcs': 6, 'ulBler': 0.0, 'ri': 1, 'pmi': '(0,0)', 'phr': 47, 'pcmax': 22, 'rsrq': -11.0, 'sinr': 12.0, 'rsrp': -113, 'rssi': 75.8, 'cqi': 15, 'pucchSnr': 20.0, 'puschSnr': 19.0}",
1689240965742,"{'rnti': '006e', 'dlBytes': 94774530, 'dlMcs': 7, 'dlBler': 0.0, 'ulBytes': 28108749, 'ulMcs': 6, 'ulBler': 0.0, 'ri': 1, 'pmi': '(0,0)', 'phr': 47, 'pcmax': 22, 'rsrq': -11.0, 'sinr': 11.5, 'rsrp': -114, 'rssi': 68.0, 'cqi': 15, 'pucchSnr': 21.0, 'puschSnr': 10.0}",
1689240966742,"{'rnti': '006e', 'dlBytes': 94776477, 'dlMcs': 7, 'dlBler': 0.0, 'ulBytes': 28110207, 'ulMcs': 6, 'ulBler': 0.0, 'ri': 1, 'pmi': '(0,0)', 'phr': 47, 'pcmax': 22, 'rsrq': -11.0, 'sinr': 11.5, 'rsrp': -114, 'rssi': 75.6, 'cqi': 15, 'pucchSnr': 18.0, 'puschSnr': 19.5}",
1689240967742,"{'rnti': '006e', 'dlBytes': 94778424, 'dlMcs': 7, 'dlBler': 0.0, 'ulBytes': 28111548, 'ulMcs': 6, 'ulBler': 0.0, 'ri': 1, 'pmi': '(0,0)', 'phr': 47, 'pcmax': 22, 'rsrq': -11.0, 'sinr': 11.5, 'rsrp': -114, 'rssi': 75.8, 'cqi': 15, 'pucchSnr': 21.0, 'puschSnr': 19.0}",
1689240968742,"{'rnti': '006e', 'dlBytes': 94780371, 'dlMcs': 7, 'dlBler': 0.0, 'ulBytes': 28113022, 'ulMcs': 6, 'ulBler': 0.0, 'ri': 1, 'pmi': '(0,0)', 'phr': 47, 'pcmax': 22, 'rsrq': -11.0, 'sinr': 11.0, 'rsrp': -114, 'rssi': 68.0, 'cqi': 15, 'pucchSnr': 21.0, 'puschSnr': 9.5}",
1689240969742,"{'rnti': '006e', 'dlBytes': 94782318, 'dlMcs': 7, 'dlBler': 0.0, 'ulBytes': 28114496, 'ulMcs': 6, 'ulBler': 0.0, 'ri': 1, 'pmi': '(0,0)', 'phr': 45, 'pcmax': 22, 'rsrq': -11.0, 'sinr': 11.0, 'rsrp': -114, 'rssi': 76.3, 'cqi': 15, 'pucchSnr': 19.0, 'puschSnr': 20.5}",
1689240970742,"{'rnti': '006e', 'dlBytes': 94784265, 'dlMcs': 7, 'dlBler': 0.0, 'ulBytes': 28115970, 'ulMcs': 6, 'ulBler': 0.0, 'ri': 1, 'pmi': '(0,0)', 'phr': 47, 'pcmax': 22, 'rsrq': -11.0, 'sinr': 11.0, 'rsrp': -114, 'rssi': 68.9, 'cqi': 15, 'pucchSnr': 18.0, 'puschSnr': 11.0}",
1689240971742,"{'rnti': '006e', 'dlBytes': 94786212, 'dlMcs': 7, 'dlBler': 0.0, 'ulBytes': 28117444, 'ulMcs': 6, 'ulBler': 0.0, 'ri': 1, 'pmi': '(0,0)', 'phr': 45, 'pcmax': 22, 'rsrq': -11.0, 'sinr': 11.0, 'rsrp': -114, 'rssi': 75.0, 'cqi': 15, 'pucchSnr': 20.0, 'puschSnr': 18.5}",
1689240972742,"{'rnti': '006e', 'dlBytes': 94788159, 'dlMcs': 7, 'dlBler': 0.0, 'ulBytes': 28118769, 'ulMcs': 6, 'ulBler': 0.0, 'ri': 1, 'pmi': '(0,0)', 'phr': 47, 'pcmax': 22, 'rsrq': -11.0, 'sinr': 11.5, 'rsrp': -114, 'rssi': 75.6, 'cqi': 15, 'pucchSnr': 21.0, 'puschSnr': 19.0}",
1689240973742,"{'rnti': '006e', 'dlBytes': 94790106, 'dlMcs': 7, 'dlBler': 0.0, 'ulBytes': 28120259, 'ulMcs': 6, 'ulBler': 0.0, 'ri': 1, 'pmi': '(0,0)', 'phr': 47, 'pcmax': 22, 'rsrq': -11.0, 'sinr': 12.0, 'rsrp': -113, 'rssi': 68.9, 'cqi': 15, 'pucchSnr': 22.0, 'puschSnr': 12.0}",
